city,state,no_schooling,nursery_school,kindergarten,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th_no_diploma,hs_diploma,GED_or_alternative_credential,college_less_than_year,college_more_than_year_no_degree,associate_degree,bachelor_degree,master_degree,professional_degree,doctorate_degree,computers_mathematics_statistics,biological_agricultural_environmental_sciences,physical_related_sciences,psychology,social_sciences,engineering,multidisciplinary,science_engineering_related,business,education,literature_languages,liberal_arts_history,visual_performing_arts,communications,other
Dayton,NV,208,0,0,0,0,68,0,0,17,148,68,165,114,155,118,1702,275,686,1305,1081,950,338,36,23,57,65,33,62,8,37,8,176,315,227,50,168,57,72,74
Dayton,OH,3661,37,57,17,107,288,267,424,1319,1281,6124,6271,10270,12549,7337,117297,18759,39899,77776,45513,82387,45112,7535,5680,6427,7295,5736,6602,9391,15774,699,14998,31746,22144,5343,6629,4111,5751,7838
Dayton,TN,297,0,0,0,0,38,15,8,53,134,264,273,404,346,95,1906,820,632,840,188,378,226,37,19,7,26,0,39,0,18,0,68,114,252,0,107,7,23,14
Dayton,TX,122,0,0,0,8,18,18,6,100,50,286,426,548,508,134,2215,1443,645,1843,444,388,208,31,0,5,17,27,8,48,10,0,73,152,157,42,20,44,11,41
Dayton,WA,10,0,0,0,0,0,2,4,38,0,29,32,27,51,40,429,106,148,405,244,322,98,18,37,10,127,11,26,6,19,0,31,40,87,39,46,26,16,32
Decatur,AL,635,0,0,94,166,165,153,262,684,424,600,835,1378,1600,961,10930,2958,3301,7784,3473,7312,2635,581,302,443,615,282,472,485,1275,92,1041,2818,1964,289,585,346,334,618
Decatur,IL,594,0,28,0,0,27,43,68,160,158,877,1142,1277,1619,1115,17458,3984,5584,9113,4848,9368,3847,846,437,587,1071,367,549,751,1202,60,1563,2919,2923,312,663,605,574,1231
Decatur,IN,92,0,0,0,0,0,0,33,7,7,58,77,173,117,211,3108,454,597,984,304,691,225,37,13,36,55,15,28,77,106,0,97,256,185,35,34,10,43,57
Decatur,TX,57,0,0,0,28,29,0,0,147,19,19,31,134,120,29,1024,176,262,746,194,692,191,0,0,0,18,0,22,14,0,0,31,223,283,33,103,31,15,110
Decorah,IA,18,0,0,0,0,0,8,21,16,4,76,15,59,40,24,1315,153,266,543,434,1091,451,114,291,53,116,69,127,156,80,0,171,229,455,186,214,172,64,97
Deer Lodge,MT,9,0,0,0,0,0,0,0,0,4,13,56,60,27,12,633,131,108,553,155,296,127,9,14,0,5,3,13,62,31,0,103,29,163,12,49,5,8,4
Deer Park,WA,0,0,0,0,0,0,0,0,0,0,6,48,54,29,52,666,129,242,440,374,258,33,10,14,8,53,45,7,35,0,0,53,24,38,21,10,0,16,58
Deerwood,TX,74,0,0,0,68,22,0,22,151,0,66,224,54,35,161,375,46,115,213,69,73,0,0,0,0,0,0,0,0,0,0,0,21,44,8,0,0,0,8
Defiance,OH,79,0,0,0,11,8,16,30,0,62,99,187,248,231,233,3945,590,785,1600,1071,1624,588,92,86,32,131,58,124,111,131,0,235,560,634,50,83,73,76,302
De Funiak Springs,FL,40,0,0,0,0,9,60,0,61,30,89,68,86,135,145,1261,250,306,567,280,376,143,17,87,12,24,0,13,34,11,10,87,52,200,8,52,22,27,90
DeKalb,IL,218,0,0,40,0,0,56,9,140,98,321,173,374,486,428,6806,1318,2809,5885,3752,8216,3759,468,919,709,649,347,738,1363,698,230,1565,2038,1982,836,494,1099,613,1017
Delano,CA,1579,9,36,201,510,779,471,618,3377,590,1153,1065,1218,1780,1053,7377,1400,1195,3743,1079,1792,301,113,39,49,158,49,152,126,195,17,323,474,383,82,170,15,46,74
Delano,MN,41,0,0,0,0,0,0,0,0,0,44,0,20,0,81,961,63,152,324,302,886,206,46,14,51,27,13,49,130,70,0,152,252,266,54,47,40,41,84
Delavan,WI,126,0,0,16,18,79,52,119,160,24,134,236,151,201,206,2380,504,548,1178,612,978,396,34,3,19,95,31,53,58,153,2,137,336,381,51,51,50,57,61
Delhi,LA,20,0,0,0,0,6,4,4,4,0,7,46,59,74,28,799,99,56,339,54,219,53,19,5,27,26,10,0,0,3,0,34,31,91,14,22,3,17,41
Delhi,NY,34,0,0,0,0,0,0,0,4,2,26,23,10,2,14,182,68,62,87,125,149,118,9,21,10,10,0,27,37,22,0,30,42,60,24,10,38,20,11
Dell Rapids,SD,0,0,0,0,0,0,0,0,2,0,64,19,36,20,11,751,62,158,373,310,516,75,13,6,19,39,0,0,59,63,10,68,151,159,9,12,4,24,38
Delphi,IN,58,0,13,0,6,0,0,0,23,50,31,151,57,88,46,688,154,157,269,199,108,71,24,15,0,10,0,5,14,21,0,41,46,84,3,0,9,3,8
Delphos,OH,10,0,0,0,0,0,0,0,9,6,47,41,132,162,82,2007,199,412,522,700,477,293,58,8,0,20,0,10,13,32,11,115,80,320,37,86,9,27,76
Del Rio,TX,1488,0,0,102,269,575,204,266,1856,591,658,805,704,1073,372,5513,1827,1381,2589,1554,3246,708,147,46,232,268,106,124,346,222,219,334,595,820,156,201,59,203,471
Delta,CO,39,0,0,0,0,3,0,35,34,12,100,96,202,99,109,1424,342,547,832,465,758,352,61,0,8,95,58,103,68,8,15,57,178,318,57,96,110,0,57
Delta,OH,0,0,0,0,0,0,0,0,23,0,35,17,36,67,19,856,73,126,425,236,288,118,8,0,29,9,15,8,37,33,0,44,132,81,9,0,0,8,22
Delta,UT,18,0,0,0,0,0,0,22,40,0,32,15,39,4,52,387,67,148,395,180,316,105,18,0,8,14,25,7,38,51,0,33,68,157,9,4,14,9,22
Deltona,FL,1615,0,9,21,44,113,234,193,691,490,1382,1601,2733,3431,2942,39169,6693,9258,20268,13059,16433,5369,1169,1006,535,1011,710,1571,1286,1799,108,2521,5614,4867,1040,1518,956,595,1537
Deming,NM,265,0,0,17,101,137,32,109,552,92,394,391,357,533,138,2442,530,511,1105,574,607,338,49,5,26,35,0,89,41,77,0,42,133,387,77,51,0,13,71
Demopolis,AL,58,0,0,0,0,1,4,23,0,12,61,16,177,103,0,1302,121,235,687,221,625,288,50,25,10,81,18,20,51,125,0,106,79,353,0,47,0,0,134
De Motte,IN,73,0,0,0,0,0,0,0,16,0,39,40,18,58,118,1129,54,234,575,148,221,89,16,0,10,0,0,21,0,0,0,70,66,126,32,0,25,2,2
Denison,IA,99,0,0,50,16,126,53,192,294,35,172,210,163,88,142,1166,192,212,576,387,453,102,37,24,0,27,11,25,11,18,11,50,165,273,7,4,13,0,12
Denmark,SC,75,0,0,0,0,0,0,38,19,36,73,34,34,73,47,323,0,163,194,260,256,30,0,0,0,27,0,0,28,0,0,45,90,10,15,0,0,0,71
Denton,MD,15,0,0,0,0,23,56,7,26,7,62,29,122,71,40,931,101,215,600,377,312,123,70,23,29,37,24,46,101,14,0,41,91,74,40,7,50,12,17
Denton--Lewisville,TX,2069,19,35,32,212,473,571,592,2894,538,1562,3126,2501,2355,2562,37211,7244,14590,40397,17992,70935,27034,4438,3919,7162,5666,3530,4067,6354,9576,917,9052,29194,11375,4672,5126,5012,4889,6648
Denton Southwest,TX,0,0,24,0,0,0,0,0,0,5,0,9,33,0,8,514,57,214,504,216,837,308,78,47,33,113,27,56,111,101,8,153,359,227,41,38,7,66,111
Denver--Aurora,CO,18385,130,201,927,2033,4309,2976,4172,23730,4996,15080,22989,20852,27830,26274,285016,61986,100071,262138,128075,438771,179377,41872,23452,37835,44213,26918,40506,65854,58060,7052,59073,160288,64093,34663,36138,32443,37516,43019
Denver City,TX,41,0,23,138,56,81,9,28,288,8,59,118,0,27,41,848,177,158,334,172,314,64,38,6,17,35,0,28,0,24,0,17,105,103,17,76,0,0,0
De Queen,AR,126,0,0,30,67,99,11,0,290,18,226,238,215,300,74,809,154,113,432,57,173,50,0,0,0,6,0,4,11,0,0,20,99,83,0,0,0,0,0
DeQuincy,LA,20,0,0,0,0,0,0,0,48,1,57,276,153,190,46,967,321,265,382,148,146,68,29,15,0,12,14,15,0,0,0,26,0,89,0,50,0,17,50
DeRidder,LA,94,0,0,14,9,18,15,33,41,126,166,267,233,344,81,2693,581,541,1480,653,1224,413,92,19,83,76,23,143,105,80,11,119,398,341,55,152,13,43,225
Dermott,AR,19,0,0,17,0,0,45,0,0,55,59,40,82,76,16,475,121,111,177,32,92,5,0,7,0,25,0,4,0,0,0,0,15,45,0,4,7,0,8
Desert Hot Springs,CA,601,0,21,28,130,209,145,172,916,250,568,997,793,1322,1106,6981,1157,1569,4003,1405,2104,891,193,180,255,119,72,169,252,146,17,356,654,460,266,266,249,71,271
Des Moines,IA,3071,15,52,219,106,324,245,490,1860,782,2202,2847,3200,4618,4035,63679,11403,20070,42563,31859,82166,23892,6891,3427,4623,7743,3176,4744,9849,5258,656,10496,32167,18371,4245,6807,4444,7006,7088
De Soto,KS,12,0,0,18,0,0,23,13,102,0,23,32,18,0,38,586,136,221,517,296,558,268,32,22,79,91,18,28,46,72,0,92,192,99,25,43,19,71,92
De Soto,MO,28,0,0,0,0,0,0,0,29,89,150,351,249,185,45,1392,246,369,545,458,436,249,14,0,33,65,18,21,48,37,19,108,68,195,0,67,56,42,39
Detroit,MI,34172,286,475,561,1182,2833,3270,5758,13380,6958,25004,30765,55610,68553,46325,591843,91085,172754,416886,209958,446196,224224,51189,25335,32415,33563,26736,35826,48274,96111,4899,82889,180381,97000,28169,33019,25004,32622,43771
Detroit Lakes,MN,20,0,0,0,0,10,0,0,22,27,92,47,88,109,48,1679,244,521,872,599,951,205,140,43,73,121,50,69,43,73,8,210,197,387,34,67,67,14,155
Devils Lake,ND,48,0,0,0,0,0,0,3,21,0,145,69,137,80,94,1527,214,226,810,634,792,123,36,66,12,141,3,61,55,37,4,176,210,264,26,15,77,19,62
Devine,TX,92,5,0,9,16,0,0,98,79,42,189,157,132,103,72,948,197,308,594,332,243,106,0,0,0,59,0,0,9,25,2,14,37,111,0,54,17,0,40
DeWitt,AR,42,0,0,0,0,0,5,10,30,40,85,28,138,109,60,675,170,107,313,110,202,44,7,5,4,28,19,13,9,4,0,30,59,84,0,8,0,0,16
De Witt,IA,2,0,0,0,0,0,0,0,0,0,64,11,13,0,15,790,45,204,572,447,615,164,34,26,27,44,15,31,30,92,0,66,199,269,28,0,0,13,72
Dexter,MO,128,0,0,0,7,0,5,13,21,46,249,208,315,236,40,1868,536,512,834,503,542,224,36,0,9,80,32,23,19,26,0,66,180,295,0,25,7,13,27
Diamondhead,MS,12,0,0,0,0,0,0,0,0,0,0,0,92,29,0,995,140,482,1002,526,1437,756,188,134,74,164,191,205,107,203,0,307,442,440,94,165,25,65,172
Diboll,TX,63,0,0,41,29,27,0,2,104,66,84,134,118,211,47,727,354,189,550,280,162,28,0,5,10,20,13,0,26,14,0,24,19,26,0,10,0,10,43
Dickinson,ND,147,0,0,0,17,0,0,10,91,43,456,61,178,240,155,3337,565,913,2314,1535,2284,553,91,194,147,278,130,107,92,192,8,420,757,601,81,89,74,73,294
Dickson,TN,64,22,0,0,19,57,0,10,161,48,237,259,359,345,73,3602,954,577,1725,440,997,382,103,109,37,134,68,94,183,86,15,108,279,413,26,65,27,54,113
Dilley,TX,26,0,0,12,28,11,2,14,97,68,110,108,121,234,58,588,368,240,174,112,65,2,0,0,0,0,9,17,0,7,0,7,0,25,0,0,0,0,14
Dillon,MT,0,0,0,0,0,0,0,0,0,0,18,95,38,14,26,619,171,175,477,133,599,198,18,129,20,121,35,27,66,20,0,67,120,297,72,60,78,15,19
Dillon,SC,84,0,0,0,0,11,10,34,130,140,130,310,508,391,127,1664,321,330,755,640,324,117,27,0,0,90,0,31,34,3,0,44,69,128,31,28,10,0,0
Dimmitt,TX,109,8,0,23,0,37,15,6,191,0,76,62,61,98,39,787,88,165,342,88,258,93,24,3,0,32,0,0,46,11,0,41,75,133,9,0,26,14,0
Discovery Bay,CA,70,0,0,0,0,27,0,4,38,29,47,24,66,59,94,1975,210,941,2861,826,2260,452,222,42,170,255,17,144,368,201,11,243,858,170,53,360,69,124,280
Dixon,CA,209,0,0,0,27,239,13,288,514,98,182,209,249,179,322,2397,466,1092,1542,1016,1546,629,234,108,37,433,65,165,247,183,0,242,414,236,134,181,101,25,247
Dixon,IL,35,0,0,29,1,10,9,25,41,14,229,279,438,528,166,3208,609,1037,1820,1030,1332,420,87,72,19,99,27,113,125,145,0,190,365,568,33,191,13,101,58
Dodge Center,MN,4,0,6,9,0,6,0,0,0,0,28,26,12,57,7,390,92,121,258,225,220,30,8,0,3,18,6,4,13,5,0,49,56,34,5,12,18,17,31
Dodge City,KS,738,0,0,39,49,127,121,310,1286,309,330,764,422,381,626,3134,520,1369,1895,987,1953,550,138,42,79,259,63,172,48,113,0,217,694,737,88,115,39,143,167
Dodgeville,WI,0,0,0,0,0,0,0,0,0,0,60,46,69,29,14,1063,114,381,433,401,500,142,10,0,50,25,0,17,11,9,4,71,136,172,39,49,54,15,25
Donaldsonville,LA,172,0,0,27,0,42,45,68,151,38,302,344,443,403,96,3509,346,470,1037,454,787,257,40,0,23,66,44,74,0,15,0,60,152,417,8,30,94,34,103
Donalsonville,GA,90,0,0,0,5,0,0,25,0,0,56,99,47,74,14,643,142,101,355,76,172,46,0,5,0,0,0,0,21,0,0,33,31,69,0,38,0,22,30
Dorr,MI,11,0,0,0,0,0,0,0,0,0,12,48,10,54,19,1435,125,331,421,264,343,32,9,0,0,31,30,33,0,30,0,24,139,48,0,0,37,0,18
Dos Palos,CA,181,0,0,0,63,47,102,70,397,46,122,211,23,165,141,1045,228,293,542,225,297,50,0,6,0,32,0,17,14,51,0,69,34,11,17,25,25,17,47
Dothan,AL,696,6,4,9,36,72,101,124,230,363,591,904,1202,1590,911,11657,2439,3244,7759,3971,7278,2687,779,428,523,722,391,700,504,588,52,1278,2768,2129,280,457,216,301,967
Douglas,AZ,224,0,0,23,86,68,47,89,706,58,287,361,163,255,238,1264,530,316,929,489,589,219,23,14,22,36,0,34,68,15,8,65,241,315,10,48,27,5,39
Douglas,GA,118,0,0,0,0,17,23,31,67,68,116,293,493,558,238,2638,384,495,847,571,690,405,142,55,63,91,35,48,134,66,0,24,264,484,30,54,51,0,98
Douglas,MI,20,0,0,2,0,2,0,0,0,3,59,9,30,8,35,384,46,89,255,87,564,235,35,27,39,56,6,27,39,43,0,85,189,157,46,50,47,80,60
Douglas,WY,0,0,0,0,0,0,0,0,78,33,31,18,87,37,92,1397,311,355,550,553,458,142,14,22,29,100,0,46,35,50,0,129,58,122,14,8,44,0,108
Dover,DE,887,1,7,22,11,111,82,63,150,304,673,1098,1868,2427,1240,19285,3520,4828,12544,6112,11955,5327,942,940,779,1364,668,1068,1348,952,375,1964,4454,3403,385,967,503,342,1848
Dover--Rochester,NH,448,13,0,20,0,44,0,27,189,134,721,563,1332,809,793,12725,3082,3287,8184,4816,11705,5459,427,919,1169,1525,726,1150,1488,1572,211,2032,3360,2160,950,932,986,693,959
Dowagiac,MI,82,0,0,0,0,9,0,0,26,9,37,92,56,169,44,973,404,576,431,284,288,100,0,0,7,7,0,0,15,21,0,24,79,146,6,30,7,6,81
Downs,IL,6,0,0,0,0,0,0,0,0,0,0,9,1,4,2,240,40,80,233,114,563,142,50,20,73,51,16,38,114,18,0,96,165,113,25,27,51,42,30
Dryden,NY,35,0,0,0,0,0,0,0,48,0,0,0,1,27,16,422,53,73,292,356,516,226,52,76,66,98,70,47,92,45,4,69,103,111,41,49,61,22,50
Dublin,GA,197,0,0,13,7,38,6,40,177,97,175,306,341,567,205,5000,732,649,1294,1184,988,946,314,51,33,138,135,140,216,96,0,174,464,470,62,173,47,34,164
Dublin,TX,41,0,0,0,0,171,23,0,26,18,49,79,27,68,35,703,75,98,275,118,323,46,0,0,13,0,0,0,0,0,0,26,112,119,0,41,23,24,11
DuBois,PA,60,0,0,0,0,3,8,0,0,11,112,61,180,250,126,3821,321,488,840,999,866,305,51,17,31,65,37,102,31,138,5,134,212,304,49,63,13,3,154
Dubuque,IA,327,0,0,15,3,9,13,55,61,75,686,483,660,737,614,13466,2027,2944,5859,3797,9162,3544,703,639,750,732,304,662,895,886,159,1276,3208,2639,876,830,591,633,1031
Duluth,MN,433,29,6,11,20,42,23,33,132,193,499,702,1015,1247,853,18285,3277,5833,12757,7783,15419,5545,1427,1034,891,2020,920,1596,2416,1073,129,2909,3848,4238,1079,1288,1275,1175,1469
Dumas,AR,24,0,0,0,0,0,0,17,47,43,129,81,100,250,89,1038,214,301,432,108,172,126,0,24,14,12,0,17,6,0,0,18,29,246,0,9,0,0,9
Dumas,TX,200,14,0,12,34,303,155,55,641,149,237,490,104,243,262,1989,551,716,1087,540,912,200,50,0,13,149,68,52,17,69,9,51,266,343,11,63,44,58,24
Duncan,OK,169,0,0,0,23,44,64,18,78,92,211,261,431,537,256,4277,888,1167,2389,708,1850,492,136,114,41,84,145,68,62,191,19,318,664,699,29,169,64,63,154
Dundee,MI,30,0,0,0,0,0,15,0,0,13,35,18,94,54,30,914,66,181,447,240,352,158,10,0,0,0,23,21,23,47,14,91,198,100,0,23,0,0,30
Dunkirk,IN,0,5,0,2,0,0,6,5,23,34,73,55,103,98,42,845,190,187,258,137,120,56,0,0,4,0,0,0,0,2,0,43,34,46,13,17,10,0,22
Dunkirk--Fredonia,NY,134,0,0,0,77,44,18,26,119,58,122,294,237,216,197,4620,697,1080,1811,1602,1826,1590,265,218,108,241,104,180,377,62,38,494,399,1387,292,223,182,227,150
Dunlap,TN,23,0,0,8,0,58,0,30,75,51,286,60,80,88,0,824,268,185,272,138,204,48,0,57,0,15,0,0,40,35,0,30,107,53,0,0,30,0,45
Dunn,NC,252,0,0,0,18,55,39,35,158,143,237,293,456,318,165,2724,556,690,1748,849,1256,416,63,55,60,45,47,83,148,61,0,164,402,392,108,152,64,39,164
Du Quoin,IL,58,0,0,0,0,32,0,0,29,24,141,69,51,146,51,1391,295,486,831,406,362,165,20,11,8,20,9,18,28,12,5,65,62,230,1,34,16,45,51
Durand,MI,18,0,0,6,0,0,0,0,7,9,25,121,83,177,47,1235,163,248,576,305,231,123,3,3,0,9,2,19,29,38,0,29,78,78,4,4,44,4,28
Durango,CO,57,0,0,0,0,0,7,12,180,106,12,69,54,57,109,1575,226,556,2209,899,3740,1463,413,350,193,422,378,477,614,283,40,423,1285,636,275,485,378,185,322
Durant,MS,39,5,0,0,0,0,0,6,16,17,54,70,92,43,86,420,106,67,294,62,112,28,0,0,20,23,0,11,11,0,3,14,10,22,0,30,0,0,10
Durant,OK,136,0,0,51,8,16,0,30,91,53,214,260,353,419,202,2520,489,679,1669,579,1285,726,126,111,97,310,66,155,56,24,10,159,381,711,117,87,28,84,128
Durham,NC,2897,10,18,227,411,914,558,1315,3416,682,2868,3941,3497,3663,2697,30552,4993,9993,28336,13473,59739,35040,10680,14720,6918,14299,7128,8415,13404,7346,1591,12949,14064,10115,9881,8855,4948,5208,6421
Dwight,IL,52,0,0,0,0,0,10,0,0,0,113,133,163,177,88,1072,209,395,699,350,281,180,56,66,18,58,30,30,20,0,0,68,68,176,10,46,10,12,51
Dyer,TN,13,0,0,0,0,10,0,0,8,26,44,61,60,134,59,926,188,152,269,107,177,43,4,12,4,23,5,5,7,5,0,22,57,58,25,17,0,11,15
Dyersburg,TN,231,27,0,0,30,60,14,61,138,58,439,270,443,506,140,4380,1222,966,1521,876,1882,770,152,140,35,180,93,59,96,303,0,341,699,817,113,153,6,56,199
Dyersville,IA,0,0,0,0,0,0,0,10,8,0,136,34,54,8,73,1000,50,197,210,307,361,112,8,0,30,12,0,40,0,0,7,64,56,77,44,87,38,35,34
Eagar,AZ,3,0,0,0,0,0,0,32,4,42,40,2,148,189,46,837,223,210,779,505,483,128,7,6,0,23,0,23,20,52,0,43,163,151,7,70,12,12,48
Eagle,CO,108,0,0,0,0,0,0,0,36,26,40,4,51,37,0,682,74,29,424,534,1480,280,68,42,23,204,156,167,88,48,11,306,310,73,122,114,51,168,144
Eagle Grove,IA,51,0,0,0,0,61,0,0,37,0,13,97,24,7,41,694,41,172,252,264,179,91,10,3,6,26,0,23,0,23,0,10,44,129,0,17,0,0,19
Eagle Lake,TX,47,0,10,0,0,13,0,46,92,3,52,44,133,54,39,671,129,120,342,164,182,65,0,14,7,6,0,15,17,8,0,85,46,87,0,0,0,0,5
Eagle Mountain South,UT,23,0,0,0,0,0,0,0,27,0,37,32,0,18,69,477,71,375,799,346,491,107,30,9,64,19,6,35,36,31,11,34,124,95,28,39,29,81,57
Eagle Pass,TX,1290,30,19,194,168,391,322,527,2614,601,1135,1458,888,1072,861,4688,1843,1342,3855,2007,2174,554,201,17,46,172,72,216,167,189,36,146,487,1050,89,165,9,19,222
Earlimart,CA,293,0,0,109,126,315,336,289,1327,153,120,654,221,158,68,1277,71,168,390,200,108,6,0,6,0,12,0,0,42,0,0,0,0,40,0,16,0,10,0
East Aurora,NY,39,0,0,0,7,0,0,25,4,24,36,12,69,56,83,1235,69,197,724,854,1649,1221,255,87,89,161,99,86,227,184,0,354,573,704,227,254,143,80,168
Eastland,TX,61,0,0,0,0,0,0,145,7,4,0,49,127,121,23,748,215,148,362,244,380,17,52,13,17,41,61,0,14,10,0,49,57,105,28,44,25,0,20
East Liverpool,OH,167,8,6,4,0,19,17,3,60,183,457,473,591,1045,556,8412,1085,1206,2641,2232,1317,555,104,78,189,53,27,47,34,166,0,167,313,648,97,194,53,60,103
Eastman,GA,18,0,0,0,0,0,24,0,12,34,40,70,130,134,92,1114,230,156,729,373,423,157,16,12,30,23,0,15,25,0,0,32,96,230,0,27,33,20,94
Easton,MD,223,0,0,14,0,86,40,9,185,0,228,110,329,279,170,3072,424,976,1740,884,2043,1182,276,270,133,366,203,180,398,148,45,339,792,429,325,228,270,89,215
East Palestine,OH,19,0,9,0,0,0,0,0,0,0,22,56,115,135,100,1312,86,368,399,299,230,98,0,0,8,0,0,17,29,0,0,0,65,114,18,15,31,23,20
East Prairie,MO,44,0,0,0,9,18,45,3,81,56,133,123,149,103,5,608,158,105,243,37,102,34,18,0,0,13,0,10,0,0,0,6,0,108,0,17,0,0,0
East Prospect,PA,8,0,0,0,0,0,0,0,0,0,37,35,94,102,49,824,91,55,144,172,122,78,7,0,0,15,10,1,2,0,0,45,30,68,6,28,0,6,8
East Quincy,CA,46,0,0,0,25,3,3,0,0,20,25,5,8,74,15,497,41,246,383,207,231,102,40,0,0,75,0,0,60,52,0,27,12,28,0,39,3,24,53
East Stroudsburg,PA,521,0,0,0,0,21,52,75,244,19,618,266,670,970,455,10462,1696,1949,5740,2684,5806,2652,461,353,538,559,285,489,815,461,38,985,1701,2059,426,282,379,220,741
East Tawas,MI,16,0,0,0,0,0,0,0,0,12,41,38,54,40,42,972,113,264,471,258,472,225,52,12,8,71,61,32,75,22,0,52,183,184,11,30,4,8,52
East Troy,WI,0,0,0,0,0,0,0,0,0,0,38,32,72,0,72,793,120,189,377,275,405,150,24,29,0,0,11,52,24,38,0,127,147,144,34,0,20,33,24
Eaton,CO,27,0,0,0,0,0,0,0,0,22,78,0,14,80,8,633,143,283,525,332,427,169,42,31,0,134,0,0,34,41,1,82,73,153,14,10,0,59,104
Eaton,OH,108,0,0,0,0,0,0,0,35,4,47,100,218,133,61,1866,398,644,726,448,370,154,11,6,0,12,6,46,11,11,5,96,82,200,12,32,27,21,18
Eaton Rapids,MI,11,0,0,0,0,0,0,0,1,6,56,14,143,35,41,962,180,281,718,361,360,168,40,7,20,27,0,45,69,18,0,46,104,134,14,21,7,10,69
Eatonton,GA,10,0,4,0,0,0,0,4,208,49,17,8,103,37,30,1295,82,188,277,167,251,120,23,13,49,58,17,9,14,0,0,24,80,111,12,34,0,0,13
Eatonville,WA,0,0,6,0,0,15,0,0,0,16,11,45,16,9,11,586,92,169,383,177,234,57,17,0,11,30,30,42,30,17,0,30,29,57,6,15,33,0,20
Eau Claire,WI,726,0,0,14,12,15,4,10,29,36,504,197,676,774,805,16800,2281,4447,10170,8591,13087,4893,963,1056,831,1218,580,1411,1465,934,92,3053,4103,3559,988,928,797,702,1567
Ebensburg,PA,80,0,0,0,25,0,0,0,0,0,154,42,28,87,8,1155,95,150,373,313,710,279,199,131,28,83,58,114,127,51,0,257,134,353,25,119,38,35,64
Eden,NC,182,0,0,0,7,53,39,29,117,89,373,405,425,359,158,3124,833,816,1705,960,1022,453,54,25,41,85,36,48,144,44,0,123,312,406,57,136,119,18,86
Edenton,NC,37,0,0,0,5,0,31,0,5,20,18,129,69,199,145,646,275,107,525,275,318,223,11,23,41,10,13,32,16,0,16,13,73,165,47,27,0,69,87
Edgefield,SC,98,11,12,22,0,15,15,10,70,74,100,138,108,211,40,900,691,278,412,118,189,122,20,43,11,28,31,38,20,38,5,25,61,71,4,15,9,11,13
Edgerton,WI,0,0,0,0,0,0,0,0,19,0,16,46,32,80,144,1421,281,493,707,864,897,227,51,44,79,61,20,54,172,70,0,167,111,206,45,59,28,35,172
Edgewood,NM,0,0,0,0,0,0,0,0,0,0,32,28,15,70,24,579,89,57,348,300,336,187,21,21,25,52,43,0,61,0,0,111,77,93,0,99,29,28,0
Edinboro,PA,23,0,0,0,0,0,0,12,0,0,17,0,25,25,87,953,72,150,392,373,806,550,23,49,29,136,23,91,70,15,0,113,313,403,1,49,71,55,147
Edna,TX,158,0,0,0,12,48,11,12,48,44,108,107,137,147,92,941,168,136,632,182,392,52,5,7,7,14,12,30,6,9,10,30,134,118,16,25,7,7,53
Edwards,CO,127,0,0,0,37,207,0,65,341,77,23,165,160,94,73,2059,365,239,1474,820,3780,1036,465,21,100,466,252,156,527,134,0,285,1604,364,314,303,410,265,557
Effingham,IL,80,4,0,0,0,0,0,4,10,40,295,72,173,94,73,2632,439,770,1321,1261,1612,423,107,63,32,146,79,64,187,103,10,294,585,542,47,22,38,31,145
Eielson AFB,AK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,49,74,24,137,204,276,175,231,0,0,30,26,0,82,22,10,0,51,81,18,26,23,14,10,34
Elberton,GA,50,0,0,0,4,4,8,9,39,52,152,139,192,227,155,1398,193,166,363,194,204,58,21,0,0,24,0,0,0,0,0,0,103,76,22,21,13,7,32
El Campo,TX,266,0,0,18,47,43,32,21,257,127,140,303,160,324,194,2119,190,340,1116,438,604,298,15,20,36,75,10,20,16,28,22,97,134,243,17,60,33,68,83
El Centro--Calexico,CA,3079,8,19,197,761,1257,493,576,4447,932,2436,3019,1175,1572,1806,11063,1402,2809,12677,4761,7298,2870,630,102,456,583,239,732,632,1302,45,765,1940,2096,237,746,217,70,1262
Eldon,MO,20,0,0,0,0,0,0,27,0,0,17,140,80,204,37,1200,306,241,361,219,269,107,33,8,0,18,13,12,18,9,0,13,13,180,72,85,0,18,0
El Dorado,AR,180,0,0,0,10,36,22,13,87,73,223,266,437,616,391,3265,480,845,1713,841,1656,541,159,48,45,81,86,67,148,155,7,196,570,724,83,87,31,84,153
Eldorado,IL,24,0,0,0,0,5,0,0,0,0,156,20,127,76,72,709,248,268,411,382,327,62,20,7,0,23,0,7,8,8,0,48,110,189,25,12,0,0,33
El Dorado,KS,107,10,0,0,0,0,0,0,0,25,60,79,216,386,129,2268,766,987,1558,1045,1115,472,60,10,56,138,38,63,61,156,6,239,220,527,27,66,43,7,69
Eldorado at Santa Fe,NM,0,0,0,0,0,0,0,0,0,0,0,24,35,0,28,300,79,175,510,147,1590,905,220,240,113,143,312,203,301,87,0,260,473,125,451,98,400,163,77
El Dorado Springs,MO,12,0,0,0,0,0,0,0,0,22,127,53,165,114,20,781,170,81,250,84,271,62,15,0,0,17,0,11,11,50,0,45,47,112,20,47,23,0,0
Electra,TX,13,0,0,0,3,10,2,5,0,3,48,48,34,54,88,654,195,166,362,91,182,70,0,0,0,6,0,0,35,0,0,77,33,37,5,26,3,4,44
